county,year,pm25_mean
Orange County,2012,11.147677507842623
Orange County,2013,10.916412161660823
Orange County,2014,12.866284894783014
Placer County,2001,10.707693442975616
Placer County,2002,12.430775489753973
Placer County,2003,10.63880606199863
Placer County,2004,10.630485625547268
Placer County,2005,10.424538490700273
Placer County,2006,10.899277592590686
Placer County,2007,9.985139652073698
Placer County,2008,12.013299938136612
Placer County,2009,9.16068440217041
Placer County,2010,7.7978634900158905
Placer County,2011,8.552565285677808
Placer County,2012,7.583413947291531
Placer County,2013,9.418514799674247
Placer County,2014,7.78942397582137
Plumas County,2001,9.20685592251096
Plumas County,2002,9.847575725252055
Plumas County,2003,8.416399033667945
Plumas County,2004,8.602912452368853
Plumas County,2005,8.667027021905206
Plumas County,2006,8.258635592567671
Plumas County,2007,6.85018564422137
Plumas County,2008,10.212410692036066
Plumas County,2009,7.3131696446265755
Plumas County,2010,5.881751071232602
Plumas County,2011,7.017888558122465
Plumas County,2012,6.309484485957377
Plumas County,2013,6.886269127203013
Plumas County,2014,6.757044129160273
Riverside County,2001,20.203461979437535
Riverside County,2002,18.309809405510958
Riverside County,2003,16.162347169918082
Riverside County,2004,15.448071286935791
Riverside County,2005,14.364479265392877
Riverside County,2006,13.135815663970135
Riverside County,2007,12.259386435541371
Riverside County,2008,11.788012443472953
Riverside County,2009,11.172374821161096
Riverside County,2010,9.97249479481726
Riverside County,2011,10.211818480707946
Riverside County,2012,10.17290984935601
Riverside County,2013,9.826104279356713
Riverside County,2014,10.555137622747944
Sacramento County,2001,11.722751589757259
Sacramento County,2002,13.63683664428411
Sacramento County,2003,11.912871581977534
Sacramento County,2004,11.562250639218306
Sacramento County,2005,11.178225703527946
Sacramento County,2006,12.016042917170411
Sacramento County,2007,11.478697815081643
Sacramento County,2008,13.162473672249453
Sacramento County,2009,10.415552752045206
Sacramento County,2010,8.70028377944411
Sacramento County,2011,10.152928527231232
Sacramento County,2012,8.880931508585519
Sacramento County,2013,11.151681931634247
Sacramento County,2014,9.259274312436439
San Benito County,2001,11.419024552179179
San Benito County,2002,12.57503512154959
San Benito County,2003,11.469211318304932
San Benito County,2004,10.811250597854098
San Benito County,2005,10.441758770870411
San Benito County,2006,10.769627427930958
San Benito County,2007,9.240490921053425
San Benito County,2008,10.401702346005193
San Benito County,2009,9.339149613196438
San Benito County,2010,7.734981147943014
San Benito County,2011,8.35306412403233
San Benito County,2012,7.311182737213115
San Benito County,2013,8.67199087174274
San Benito County,2014,5.620394368618082
San Bernardino County,2001,21.741936718941098
San Bernardino County,2002,19.913235900999176
San Bernardino County,2003,17.089954941185752
San Bernardino County,2004,16.703748025739618
San Bernardino County,2005,15.540707469506026
San Bernardino County,2006,14.29114707976767
San Bernardino County,2007,13.28475464834904
San Bernardino County,2008,12.56713433709071
San Bernardino County,2009,12.285559151712603
San Bernardino County,2010,10.790154102976437
San Bernardino County,2011,11.176266321604658
San Bernardino County,2012,10.881289326485792
San Bernardino County,2013,10.258470894923013
San Bernardino County,2014,10.843628727679178
San Diego County,2001,16.11172141573096
San Diego County,2002,15.00200754954548
San Diego County,2003,14.423344735005479
San Diego County,2004,13.226557581809836
San Diego County,2005,12.081358926470411
San Diego County,2006,11.925165673528767
San Diego County,2007,12.73025658868
San Diego County,2008,12.641963017320766
San Diego County,2009,11.308113153925479
San Diego County,2010,9.906170013970959
San Diego County,2011,9.983676424934796
San Diego County,2012,9.889968404075136
San Diego County,2013,9.623320900567945
San Diego County,2014,10.008912947011233
San Francisco County,2001,10.261637792444384
San Francisco County,2002,11.49056710183863
San Francisco County,2003,10.869385986364932
San Francisco County,2004,9.571354222978142
San Francisco County,2005,9.061922623838356
San Francisco County,2006,9.620037691965754
San Francisco County,2007,9.120149231686849
San Francisco County,2008,11.659355971985793
San Francisco County,2009,10.532722477306303
San Francisco County,2010,9.073322813773698
San Francisco County,2011,9.497713232413425
San Francisco County,2012,7.5588660422948095
San Francisco County,2013,10.399794948296163
San Francisco County,2014,9.069542595742465
San Joaquin County,2001,12.833508827791507
San Joaquin County,2002,14.569500816437534
San Joaquin County,2003,13.34898244227863
San Joaquin County,2004,12.380718549842896
San Joaquin County,2005,11.960258660825753
San Joaquin County,2006,12.60031934696959
San Joaquin County,2007,11.724434662061098
San Joaquin County,2008,13.064606251424589
San Joaquin County,2009,10.808538594748219
San Joaquin County,2010,9.218132442285205
San Joaquin County,2011,9.777717162232328
San Joaquin County,2012,8.893810732390437
San Joaquin County,2013,11.416964919665205
San Joaquin County,2014,10.516105150310137
San Luis Obispo County,2001,10.850357970740822
San Luis Obispo County,2002,11.414221613857809
San Luis Obispo County,2003,10.280198125664931
San Luis Obispo County,2004,10.32163304814918
San Luis Obispo County,2005,9.395066829771782
San Luis Obispo County,2006,10.14178763809863
San Luis Obispo County,2007,8.81587287278685
San Luis Obispo County,2008,10.41333535427459
San Luis Obispo County,2009,9.875278459410138
San Luis Obispo County,2010,7.8984191884298625
San Luis Obispo County,2011,8.556796524551507
San Luis Obispo County,2012,7.3237781735229515
San Luis Obispo County,2013,8.659692628577808
San Luis Obispo County,2014,7.29064607805315
San Mateo County,2001,10.306540934503836
San Mateo County,2002,11.445350601861644
San Mateo County,2003,10.906030756088768
San Mateo County,2004,9.735542290134426
San Mateo County,2005,9.347413495970958
San Mateo County,2006,9.763740590955068
San Mateo County,2007,8.815152178977534
San Mateo County,2008,10.87853278951776
San Mateo County,2009,9.626013210421096
San Mateo County,2010,8.037408199894795
San Mateo County,2011,8.89667991240137
San Mateo County,2012,7.322665465690437
San Mateo County,2013,10.002071241551782
San Mateo County,2014,8.203579968433152
Santa Barbara County,2001,11.249244894143287
Santa Barbara County,2002,11.643335335492877
Santa Barbara County,2003,10.756993427978356
Santa Barbara County,2004,10.742451138051912
Santa Barbara County,2005,9.575741037203562
Santa Barbara County,2006,10.485350773308493
Santa Barbara County,2007,9.348187633865754
Santa Barbara County,2008,9.940068610888252
Santa Barbara County,2009,9.638338134075616
Santa Barbara County,2010,7.684652059995343
Santa Barbara County,2011,8.172917224028218
Santa Barbara County,2012,7.100206937135246
Santa Barbara County,2013,7.984977866703561
Santa Barbara County,2014,8.586342625836439
Santa Clara County,2001,11.254996284734247
Santa Clara County,2002,12.227201960215341
Santa Clara County,2003,11.531444599575616
Santa Clara County,2004,10.640871489851367
Santa Clara County,2005,10.466248227371507
Santa Clara County,2006,10.612544749259177
Santa Clara County,2007,10.041172742729316
Santa Clara County,2008,11.526207974836067
Santa Clara County,2009,9.804141142320548
Santa Clara County,2010,8.535050119076438
Santa Clara County,2011,9.316890758002192
Santa Clara County,2012,7.930660004477868
Santa Clara County,2013,9.75085310060411
Santa Clara County,2014,7.6776324603652055
Santa Cruz County,2001,10.145953660034795
Santa Cruz County,2002,11.213145639670136
Santa Cruz County,2003,10.721486856589589
Santa Cruz County,2004,9.9754344242306
Santa Cruz County,2005,9.63561265095452
Santa Cruz County,2006,9.878714905417535
Santa Cruz County,2007,8.760507509224931
Santa Cruz County,2008,10.270741053480053
Santa Cruz County,2009,9.05339256043589
Santa Cruz County,2010,7.718295886509041
Santa Cruz County,2011,8.276860642350137
Santa Cruz County,2012,7.15526887347459
Santa Cruz County,2013,8.778471538455069
Santa Cruz County,2014,6.590283555319726
Shasta County,2001,9.09897215646685
Shasta County,2002,10.613206028663836
Shasta County,2003,8.875739293926301
Shasta County,2004,8.69025600382377
Shasta County,2005,8.457798381063288
Shasta County,2006,8.937596560632876
Shasta County,2007,7.5316837050846575
Shasta County,2008,11.624734322480602
Shasta County,2009,7.9275348650136985
Shasta County,2010,6.854950209824384
Shasta County,2011,6.888776041266576
Shasta County,2012,6.371815256148634
Shasta County,2013,6.856381380134795
Shasta County,2014,7.271366843593972
Sierra County,2001,9.140758312328767
Sierra County,2002,9.852546684931507
Sierra County,2003,8.140859271232877
Sierra County,2004,8.597443560109289
Sierra County,2005,8.711587926027397
Sierra County,2006,8.584681715068493
Sierra County,2007,6.167061090410958
Sierra County,2008,9.125315016393442
Sierra County,2009,6.667083753424657
Sierra County,2010,5.556478202739726
Sierra County,2011,6.568410747945205
Sierra County,2012,5.638951040983606
Sierra County,2013,6.927127780821918
Sierra County,2014,6.739792712328767
Siskiyou County,2001,8.919771819957809
Siskiyou County,2002,11.893514699232878
Siskiyou County,2003,8.058503694714794
Siskiyou County,2004,8.126930128216394
Siskiyou County,2005,8.384690320344657
Siskiyou County,2006,8.588393057147123
Siskiyou County,2007,6.081096135615343
Siskiyou County,2008,8.78829519360246
Siskiyou County,2009,7.289686351861919
Siskiyou County,2010,5.5401822915846575
Siskiyou County,2011,6.17978760782548
Siskiyou County,2012,5.641072259955465
Siskiyou County,2013,6.528822197659178
Siskiyou County,2014,7.107062244612054
Solano County,2001,11.19395486408685
Solano County,2002,12.387671131409315
Solano County,2003,11.585383595703837
Solano County,2004,10.548455433896448
Solano County,2005,9.688915184061644
Solano County,2006,10.659648759434246
Solano County,2007,8.470873691310137
Solano County,2008,11.14249209598388
Solano County,2009,9.01550637714411
Solano County,2010,7.640335348083013
Solano County,2011,8.323497645349864
Solano County,2012,7.355725628973223
Solano County,2013,9.187973079336437
Solano County,2014,9.48666119292137
Sonoma County,2001,9.13403662012137
Sonoma County,2002,10.04336629282
Sonoma County,2003,10.011192668474246
Sonoma County,2004,8.482408672162022
Sonoma County,2005,7.814070339206027
Sonoma County,2006,8.800162755364932
Sonoma County,2007,6.770609587884658
Sonoma County,2008,10.216711104155738
Sonoma County,2009,7.7796205958375335
Sonoma County,2010,6.500691006310411
Sonoma County,2011,6.7990806956484935
Sonoma County,2012,5.924409003695902
Sonoma County,2013,7.254714117610411
Sonoma County,2014,8.408665290165754
Stanislaus County,2001,13.383267950756164
Stanislaus County,2002,15.194240632158357
Stanislaus County,2003,13.806075315400001
Stanislaus County,2004,12.667986084645355
Stanislaus County,2005,12.474528668256164
Stanislaus County,2006,12.955563343811233
Stanislaus County,2007,12.968418932973425
Stanislaus County,2008,13.72384310341776
Stanislaus County,2009,11.54848006914137
Stanislaus County,2010,10.021262024863836
Stanislaus County,2011,10.1284799190063
Stanislaus County,2012,9.177704444264208
Stanislaus County,2013,11.578656569518081
Stanislaus County,2014,11.039189790155067
Sutter County,2001,10.883072433278082
Sutter County,2002,12.250174439534794
Sutter County,2003,11.335837123808766
Sutter County,2004,10.303025354147268
Sutter County,2005,10.205818045661097
Sutter County,2006,10.572654485189041
Sutter County,2007,9.385224992160548
Sutter County,2008,11.632624568700273
Sutter County,2009,8.509971353936438
Sutter County,2010,6.907700977164931
Sutter County,2011,8.360343132034247
Sutter County,2012,7.4560207259887985
Sutter County,2013,9.17737365949589
Sutter County,2014,8.937589123280274
Tehama County,2001,9.289329026145206
Tehama County,2002,10.538330949947397
Tehama County,2003,9.695413954654246
Tehama County,2004,9.045958953807924
Tehama County,2005,8.719856534738081
Tehama County,2006,9.159506315565478
Tehama County,2007,7.5660865499367125
Tehama County,2008,11.413091719326776
Tehama County,2009,7.670362698141096
Tehama County,2010,6.360493725772055
Tehama County,2011,6.91715435840959
Tehama County,2012,6.3028760109341535
Tehama County,2013,7.259787394770684
Tehama County,2014,7.523636189290959
Trinity County,2001,8.28982952931507
Trinity County,2002,9.83190752219178
Trinity County,2003,8.29418186410959
Trinity County,2004,7.8727786442622945
Trinity County,2005,7.400748158356165
Trinity County,2006,10.167199119452055
Trinity County,2007,5.105594897534246
Trinity County,2008,10.596418238251365
Trinity County,2009,6.246836343013699
Trinity County,2010,4.905473784657534
Trinity County,2011,5.568292194520548
Trinity County,2012,4.98208993989071
Trinity County,2013,5.760269715068493
Trinity County,2014,6.607965863013699
Tulare County,2001,16.061370505862467
Tulare County,2002,17.693690279970685
Tulare County,2003,14.777348237114794
Tulare County,2004,14.155319920076229
Tulare County,2005,14.468059739194521
Tulare County,2006,14.385447415558628
Tulare County,2007,15.451485280452603
Tulare County,2008,16.129366614952733
Tulare County,2009,14.282722845998082
Tulare County,2010,11.832184182372055
Tulare County,2011,12.93482348025041
Tulare County,2012,11.615216509039342
Tulare County,2013,14.723473951183836
Tulare County,2014,15.081501700010685
Tuolumne County,2001,10.238392408471507
Tuolumne County,2002,11.473726177341645
Tuolumne County,2003,11.16420830985452
Tuolumne County,2004,10.072453566558742
Tuolumne County,2005,9.74129368169863
Tuolumne County,2006,10.1261125491863
Tuolumne County,2007,7.941544325276986
Tuolumne County,2008,9.445258063592897
Tuolumne County,2009,8.255632169357535
Tuolumne County,2010,7.206905940462465
Tuolumne County,2011,7.543481686672603
Tuolumne County,2012,6.413545789864481
Tuolumne County,2013,8.432496687420548
Tuolumne County,2014,7.293733823152603
Ventura County,2001,14.513269699674247
Ventura County,2002,14.25587395354219
Ventura County,2003,13.486890498054247
Ventura County,2004,12.80395191027459
Ventura County,2005,11.603091481620822
Ventura County,2006,11.887091522505754
Ventura County,2007,11.10888086809315
Ventura County,2008,11.249782854377596
Ventura County,2009,10.876902824432877
Ventura County,2010,8.66928051823315
Ventura County,2011,9.110375205636712
Ventura County,2012,8.649101726198634
Ventura County,2013,8.958164419981644
Ventura County,2014,9.498617833578082
Yolo County,2001,11.375101707584932
Yolo County,2002,12.826578478064931
Yolo County,2003,11.570002685469314
Yolo County,2004,10.955267308612294
Yolo County,2005,10.297113542080549
Yolo County,2006,11.280032099484933
Yolo County,2007,9.004452125544109
